Invoice Number,Trip ID,Load ID,Start Date,End Date,Run,Operator Type,Equipment,Distance (mi),Item Type,Base Rate,Base Rate Fixed,Fuel Surcharge,Tolls,PUP Charges,Weight Mile Tax,Detention,TONU,Peak Yard Charges,Airport Charges,Others,Gross Pay,Comments
AZNG903F7C91B06547D487507C6B07430F93,T-1111S2JM6,116B5JLJJ,"May 31, 2020","May 31, 2020",PNE5->DPH6,-,-,56.62,Load - Completed, $ 122.78 , $ -   , $ 10.76 , $ 64.70 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 198.24 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-113VJSMNX,113LQLP56,"Jun 1, 2020","Jun 1, 2020",TEB6->CDW5,-,-,30.42,Load - Completed, $ 125.69 , $ -   , $ 5.91 , $ 9.85 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 141.45 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-113KBT4LV,113VX7PSL,"Jun 1, 2020","Jun 1, 2020",PNE5->DPH1,-,-,34.09,Load - Completed, $ 105.77 , $ -   , $ 6.66 , $ 35.05 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 147.48 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1139K6KMJ,116CM12NY,"Jun 2, 2020","Jun 2, 2020",PNE5->DPH6,-,-,56.62,Load - Completed, $ 122.78 , $ -   , $ 10.76 , $ 64.70 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 198.24 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1139K6KMJ,112G7TFBL,"Jun 2, 2020","Jun 2, 2020",DPH6->PNE5,-,-,58.67,Load - Completed, $ 127.22 , $ -   , $ 11.15 , $ 29.65 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 168.02 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111WMN6JG,1138RQVXW,"Jun 2, 2020","Jun 2, 2020",CDW5->TEB6,-,-,30.09,Load - Completed, $ 124.31 , $ -   , $ 5.72 , $ 9.85 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 139.88 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1131BQM5Z,116QWCJNR,"Jun 2, 2020","Jun 2, 2020",EWR4->TEB6,-,-,15.52,Load - Completed, $ 198.19 , $ -   , $ 2.48 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 200.67 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-113XDVSMW,115JZC5FS,"Jun 3, 2020","Jun 3, 2020",PNE5->DPH2,-,-,60.29,Load - Completed, $ 210.34 , $ -   , $ 11.45 , $ 64.70 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 286.49 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-112NVM3ZV,114NRDYWM,"Jun 3, 2020","Jun 3, 2020",DPH2->PNE5,-,-,61.53,Load - Completed, $ 214.66 , $ -   , $ 11.69 , $ 23.75 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 250.10 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111ZCMDFG,11495PP3L,"Jun 3, 2020","Jun 3, 2020",EWR8->EWR4,-,-,66.93,Load - Completed, $ 125.63 , $ -   , $ 12.19 , $ 35.80 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 173.62 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1143XV666,112WDZVPN,"Jun 5, 2020","Jun 5, 2020",PNE5->DEW4,-,-,21.09,Load - Completed, $ 122.74 , $ -   , $ 4.01 , $ 20.00 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 146.75 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1163L411W,1147K29R1,"Jun 6, 2020","Jun 6, 2020",CDW5->ACY2,-,-,54.28,Load - Completed, $ 123.93 , $ -   , $ 10.63 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 134.56 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1166LQ1TP,1163KQS5Z,"Jun 6, 2020","Jun 6, 2020",DPH2->PNE5,-,-,61.53,Load - Completed, $ 126.27 , $ -   , $ 11.69 , $ 23.75 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 161.71 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111Z5KPWD,112QYT3JQ,"Jun 6, 2020","Jun 7, 2020",EWR5->EWR4,-,-,39.64,Load - Completed, $ 126.22 , $ -   , $ 7.01 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 133.23 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1111S2JM6,115X2QZZ2,"May 31, 2020","May 31, 2020",DPH6->PNE5,-,-,58.67,Load - Completed, $ 127.22 , $ -   , $ 11.15 , $ 29.65 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 168.02 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-112P8G7J6,116VC78KQ,"May 31, 2020","Jun 1, 2020",EWR5->EWR4,-,-,39.64,Load - Completed, $ 151.47 , $ -   , $ 7.01 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 158.48 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-115Z1GKDK,113D3TKYC,"Jun 2, 2020","Jun 2, 2020",PNE5->EWR4,-,-,2.53,Load - Completed, $ 124.70 , $ -   , $ 0.19 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 124.89 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1163V1DQT,114TPV9L1,"Jun 2, 2020","Jun 2, 2020",PNE5->DEW4,-,-,21.09,Load - Completed, $ 122.74 , $ -   , $ 4.01 , $ 20.00 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 146.75 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1135MJJZV,112ZF5FNY,"Jun 3, 2020","Jun 3, 2020",PNE5->DEW4,-,-,21.09,Load - Completed, $ 122.74 , $ -   , $ 4.01 , $ 20.00 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 146.75 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-113XDVSMW,116MPT9G9,"Jun 3, 2020","Jun 3, 2020",DPH2->PNE5,-,-,61.53,Load - Completed, $ 214.66 , $ -   , $ 11.69 , $ 23.75 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 250.10 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1157LJR41,111NCJJFR,"Jun 4, 2020","Jun 4, 2020",PNE5->DEW4,-,-,21.09,Load - Completed, $ 122.74 , $ -   , $ 4.01 , $ 20.00 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 146.75 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1125TD5P8,111F3C6VM,"Jun 4, 2020","Jun 4, 2020",PNE5->DPH6,-,-,56.62,Load - Completed, $ 122.78 , $ -   , $ 10.76 , $ 64.70 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 198.24 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111ZFXGMX,111L24DRQ,"Jun 4, 2020","Jun 5, 2020",DPH6->EWR4,-,-,59.61,Load - Completed, $ 165.08 , $ -   , $ 11.15 , $ 29.65 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 205.88 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1166G7MCG,111BLZVX2,"Jun 5, 2020","Jun 5, 2020",ACY5->EWR4,-,-,59.09,Load - Completed, $ 124.32 , $ -   , $ 10.78 , $ 3.80 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 138.90 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111P854MH,11351WKGK,"May 31, 2020","May 31, 2020",PNE5->DEW4,-,-,21.09,Load - Completed, $ 122.74 , $ -   , $ 4.01 , $ 20.00 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 146.75 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1159FS8Z3,1118ZXV66,"May 31, 2020","May 31, 2020",ACY5->ACY2,-,-,40.03,Load - Completed, $ 125.80 , $ -   , $ 7.71 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 133.51 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-112P8G7J6,113Z3D566,"May 31, 2020","May 31, 2020",EWR4->EWR5,-,-,38.87,Load - Completed, $ 148.53 , $ -   , $ 6.92 , $ 6.35 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 161.80 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1117WH565,11218KRPK,"Jun 1, 2020","Jun 1, 2020",DEW4->PNE5,-,-,21.87,Load - Completed, $ 127.26 , $ -   , $ 4.16 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 131.42 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1131BQM5Z,114C588SB,"Jun 2, 2020","Jun 2, 2020",TEB6->EWR4,-,-,15.8,Load - Completed, $ 201.81 , $ -   , $ 2.48 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 204.29 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-113PGY6NN,1114T747W,"Jun 2, 2020","Jun 2, 2020",EWR4->DPH6,-,-,57.75,Load - Completed, $ 135.32 , $ -   , $ 10.76 , $ 64.70 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 210.78 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1163V1DQT,113X866Q9,"Jun 3, 2020","Jun 3, 2020",DEW4->PNE5,-,-,21.87,Load - Completed, $ 127.26 , $ -   , $ 4.16 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 131.42 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1124L1RND,112GQ1W38,"Jun 4, 2020","Jun 4, 2020",PNE5->DEW8,-,-,40.15,Load - Completed, $ 109.78 , $ -   , $ 7.63 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 117.41 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1125TD5P8,116J5G9G9,"Jun 4, 2020","Jun 4, 2020",DPH6->PNE5,-,-,58.67,Load - Completed, $ 127.22 , $ -   , $ 11.15 , $ 29.65 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 168.02 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-115S3TG11,111VTS2LG,"Jun 5, 2020","Jun 5, 2020",ACY2->EWR5,-,-,51.22,Load - Completed, $ 126.06 , $ -   , $ 10.44 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 136.50 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111YFDJ5Z,1158HT1JL,"Jun 6, 2020","Jun 6, 2020",EWR4->PNE5,-,-,2.54,Load - Completed, $ 125.30 , $ -   , $ 0.19 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 125.49 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-11337DHM4,116VVTZQB,"Jun 7, 2020","Jun 7, 2020",EWR4->PNE5,-,-,2.54,Load - Completed, $ 125.30 , $ -   , $ 0.19 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 125.49 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-113KF6T94,114N7CRV7,"Jun 7, 2020","Jun 7, 2020",PNE5->EWR4,-,-,2.53,Load - Completed, $ 124.70 , $ -   , $ 0.19 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 124.89 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-113F4J5G9,116H5SJHK,"Jun 7, 2020","Jun 7, 2020",DEW4->PNE5,-,-,21.87,Load - Completed, $ 127.26 , $ -   , $ 4.16 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 131.42 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111P854MH,115Y2BVZ3,"May 31, 2020","May 31, 2020",DEW4->PNE5,-,-,21.87,Load - Completed, $ 127.26 , $ -   , $ 4.16 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 131.42 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-115RM4ZVJ,111PWQLND,"May 31, 2020","May 31, 2020",EWR4->PNE5,-,-,2.54,Load - Completed, $ 86.20 , $ -   , $ 0.19 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 86.39 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-114HH82FX,113TM51HC,"Jun 1, 2020","Jun 1, 2020",DEW4->PNE5,-,-,21.87,Load - Completed, $ 127.26 , $ -   , $ 4.16 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 131.42 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1117WH565,116J5J9D2,"Jun 1, 2020","Jun 1, 2020",PNE5->DEW4,-,-,21.09,Load - Completed, $ 122.74 , $ -   , $ 4.01 , $ 20.00 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 146.75 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1122T87RR,113Q153X9,"Jun 1, 2020","Jun 1, 2020",EWR4->EWR5,-,-,38.87,Load - Completed, $ 123.78 , $ -   , $ 6.92 , $ 6.35 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 137.05 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1122T87RR,115W167WW,"Jun 1, 2020","Jun 2, 2020",EWR5->EWR4,-,-,39.64,Load - Completed, $ 126.22 , $ -   , $ 7.01 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 133.23 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-113ZQVM3B,113KP7NCY,"Jun 2, 2020","Jun 2, 2020",DEW4->PNE5,-,-,21.87,Load - Completed, $ 127.26 , $ -   , $ 4.16 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 131.42 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1124L1RND,1145RWXZL,"Jun 4, 2020","Jun 4, 2020",DEW8->PNE5,-,-,51.28,Load - Completed, $ 140.22 , $ -   , $ 9.74 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 149.96 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111ZFXGMX,113XJT6L1,"Jun 4, 2020","Jun 4, 2020",EWR4->DPH6,-,-,57.75,Load - Completed, $ 159.92 , $ -   , $ 10.76 , $ 64.70 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 235.38 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1143XV666,116CTMY7F,"Jun 5, 2020","Jun 5, 2020",DEW4->PNE5,-,-,21.87,Load - Completed, $ 127.26 , $ -   , $ 4.16 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 131.42 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111S226B4,1131N89W3,"Jun 6, 2020","Jun 6, 2020",PNE5->DPH6,-,-,56.62,Load - Completed, $ 135.06 , $ -   , $ 10.76 , $ 64.70 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 210.52 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111S226B4,115KZKQ42,"Jun 6, 2020","Jun 6, 2020",DPH6->PNE5,-,-,58.67,Load - Completed, $ 139.94 , $ -   , $ 11.15 , $ 29.65 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 180.74 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1154557PJ,111PTTWBM,"May 31, 2020","May 31, 2020",TEB6->ABE8,-,-,23.75,Load - Completed, $ 49.94 , $ -   , $ 4.51 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 54.45 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-11337DHM4,116SQJTQ9,"Jun 7, 2020","Jun 7, 2020",PNE5->EWR4,-,-,2.53,Load - Completed, $ 124.70 , $ -   , $ 0.19 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 124.89 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-1159FS8Z3,1112WCFNX,"May 31, 2020","May 31, 2020",ACY2->ACY5,-,-,39.52,Load - Completed, $ 124.20 , $ -   , $ 7.25 , $ 3.80 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 135.25 ,Load - Completed
AZNG903F7C91B06547D487507C6B07430F93,T-111X2BZG3,114TC13JF,"Jun 3, 2020",-,DPH6->PNE5,-,-,-,Load - Cancelled, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 175.00 , $ -   , $ -   , $ -   , $ 175.00 ,Load - Cancelled
AZNG903F7C91B06547D487507C6B07430F93,T-113VJSMNX,116DVQ6ZL,"Jun 1, 2020","Jun 1, 2020",CDW5->TEB6,-,-,30.09,Load - Completed, $ 124.31 , $ -   , $ 5.72 , $ 9.85 , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ 139.88 ,Load - Completed
